di_B2	dw_Monday	m_Sep	199	0.00218823193059	0.0966019417476
di_B2	dw_Monday	of_3006	149	0.00163842491286	0.0723300970874
di_B2	dw_Monday	of_3115	106	0.0011655908776	0.0514563106796
di_B2	dw_Monday	of_3301	139	0.00152846350931	0.0674757281553
di_B2	dw_Monday	of_802	105	0.00115459473725	0.0509708737864
di_B2	dw_Monday	st_BLUE_HILL_AVE	111	0.00122057157938	0.0538834951456
di_B2	dw_Monday	st_DUDLEY_ST	120	0.00131953684257	0.0582524271845
di_B2	dw_Saturday	hr_0	121	0.00133053298292	0.0617032126466
di_B2	dw_Saturday	hr_12	105	0.00115459473725	0.0535441101479
di_B2	dw_Saturday	hr_13	109	0.00119857929867	0.0555838857726
di_B2	dw_Saturday	hr_14	117	0.0012865484215	0.0596634370219
di_B2	dw_Saturday	hr_16	104	0.00114359859689	0.0530341662417
di_B2	dw_Saturday	hr_17	110	0.00120957543902	0.0560938296787
di_B2	dw_Saturday	hr_18	106	0.0011655908776	0.0540540540541
di_B2	dw_Saturday	hr_20	109	0.00119857929867	0.0555838857726
di_B2	dw_Saturday	hr_21	105	0.00115459473725	0.0535441101479
di_B2	dw_Saturday	m_Apr	140	0.00153945964966	0.0713921468638
di_B2	dw_Saturday	m_Aug	152	0.00167141333392	0.0775114737379
di_B2	dw_Saturday	m_Dec	164	0.00180336701818	0.0836308006119
di_B2	dw_Saturday	m_Feb	133	0.00146248666718	0.0678225395207
di_B2	dw_Saturday	m_Jan	162	0.00178137473747	0.0826109127996
di_B2	dw_Saturday	m_Jul	179	0.0019683091235	0.0912799592045
di_B2	dw_Saturday	m_Jun	189	0.00207827052705	0.0963793982662
di_B2	dw_Saturday	m_Mar	146	0.00160543649179	0.0744518103009
di_B2	dw_Saturday	m_May	165	0.00181436315853	0.0841407445181
di_B2	dw_Saturday	m_Nov	152	0.00167141333392	0.0775114737379
di_B2	dw_Saturday	m_Oct	157	0.00172639403569	0.0800611932687
di_B2	dw_Saturday	m_Sep	222	0.00244114315875	0.11320754717
di_B2	dw_Saturday	of_3006	124	0.00136352140399	0.0632330443651
di_B2	dw_Saturday	of_3115	103	0.00113260245654	0.0525242223355
di_B2	dw_Saturday	of_3301	140	0.00153945964966	0.0713921468638
di_B2	dw_Saturday	st_BLUE_HILL_AVE	124	0.00136352140399	0.0632330443651
di_B2	dw_Sunday	hr_0	111	0.00122057157938	0.0641989589358
di_B2	dw_Sunday	hr_16	105	0.00115459473725	0.0607287449393
di_B2	dw_Sunday	hr_18	129	0.00141850210576	0.0746096009254
di_B2	dw_Sunday	hr_19	108	0.00118758315831	0.0624638519375
di_B2	dw_Sunday	m_Apr	164	0.00180336701818	0.0948525159051
di_B2	dw_Sunday	m_Aug	116	0.00127555228115	0.0670908039329
di_B2	dw_Sunday	m_Dec	183	0.00201229368492	0.105841526894
di_B2	dw_Sunday	m_Feb	109	0.00119857929867	0.063042220937
di_B2	dw_Sunday	m_Jan	128	0.00140750596541	0.074031231926
di_B2	dw_Sunday	m_Jul	170	0.00186934386031	0.0983227299017
di_B2	dw_Sunday	m_Jun	143	0.00157244807073	0.0827067669173
di_B2	dw_Sunday	m_Mar	125	0.00137451754434	0.0722961249277
di_B2	dw_Sunday	m_May	144	0.00158344421108	0.0832851359167
di_B2	dw_Sunday	m_Nov	128	0.00140750596541	0.074031231926
di_B2	dw_Sunday	m_Oct	127	0.00139650982505	0.0734528629265
di_B2	dw_Sunday	m_Sep	192	0.00211125894811	0.111046847889
di_B2	dw_Sunday	of_3006	112	0.00123156771973	0.0647773279352
di_B2	dw_Sunday	of_3301	139	0.00152846350931	0.0803932909196
di_B2	dw_Sunday	of_3831	113	0.00124256386009	0.0653556969346
di_B2	dw_Sunday	of_802	106	0.0011655908776	0.0613071139387
di_B2	dw_Sunday	st_BLUE_HILL_AVE	138	0.00151746736895	0.0798149219202
di_B2	dw_Thursday	hr_0	103	0.00113260245654	0.0487689393939
di_B2	dw_Thursday	hr_10	113	0.00124256386009	0.0535037878788
di_B2	dw_Thursday	hr_11	117	0.0012865484215	0.0553977272727
di_B2	dw_Thursday	hr_12	139	0.00152846350931	0.0658143939394
di_B2	dw_Thursday	hr_13	119	0.00130854070221	0.0563446969697
di_B2	dw_Thursday	hr_14	132	0.00145149052683	0.0625
di_B2	dw_Thursday	hr_15	130	0.00142949824612	0.061553030303
di_B2	dw_Thursday	hr_16	115	0.00126455614079	0.0544507575758
di_B2	dw_Thursday	hr_17	124	0.00136352140399	0.0587121212121
di_B2	dw_Thursday	hr_18	124	0.00136352140399	0.0587121212121
di_B2	dw_Thursday	hr_19	121	0.00133053298292	0.0572916666667
di_B2	dw_Thursday	hr_20	101	0.00111061017583	0.047821969697
di_B2	dw_Thursday	hr_9	107	0.00117658701796	0.0506628787879
di_B2	dw_Thursday	m_Apr	150	0.00164942105321	0.0710227272727
di_B2	dw_Thursday	m_Aug	200	0.00219922807095	0.094696969697
di_B2	dw_Thursday	m_Dec	158	0.00173739017605	0.0748106060606
di_B2	dw_Thursday	m_Feb	149	0.00163842491286	0.0705492424242
di_B2	dw_Thursday	m_Jan	125	0.00137451754434	0.0591856060606
di_B2	dw_Thursday	m_Jul	163	0.00179237087782	0.077178030303
di_B2	dw_Thursday	m_Jun	182	0.00200129754456	0.0861742424242
di_B2	dw_Thursday	m_Mar	159	0.0017483863164	0.0752840909091
di_B2	dw_Thursday	m_May	222	0.00244114315875	0.105113636364
di_B2	dw_Thursday	m_Nov	231	0.00254010842194	0.109375
di_B2	dw_Thursday	m_Oct	196	0.00215524350953	0.092803030303
di_B2	dw_Thursday	m_Sep	177	0.00194631684279	0.0838068181818
di_B2	dw_Thursday	of_3006	147	0.00161643263215	0.0696022727273
di_B2	dw_Thursday	of_3115	125	0.00137451754434	0.0591856060606
di_B2	dw_Thursday	of_3301	141	0.00155045579002	0.0667613636364
di_B2	dw_Thursday	of_802	113	0.00124256386009	0.0535037878788
di_B2	dw_Thursday	st_BLUE_HILL_AVE	109	0.00119857929867	0.0516098484848
di_B2	dw_Tuesday	hr_10	116	0.00127555228115	0.0557156580211
di_B2	dw_Tuesday	hr_11	111	0.00122057157938	0.0533141210375
di_B2	dw_Tuesday	hr_12	128	0.00140750596541	0.0614793467819
di_B2	dw_Tuesday	hr_13	106	0.0011655908776	0.0509125840538
di_B2	dw_Tuesday	hr_14	125	0.00137451754434	0.0600384245917
di_B2	dw_Tuesday	hr_15	119	0.00130854070221	0.0571565802113
di_B2	dw_Tuesday	hr_16	145	0.00159444035144	0.0696445725264
di_B2	dw_Tuesday	hr_17	125	0.00137451754434	0.0600384245917
di_B2	dw_Tuesday	hr_18	164	0.00180336701818	0.0787704130644
di_B2	dw_Tuesday	hr_19	101	0.00111061017583	0.0485110470701
di_B2	dw_Tuesday	hr_20	110	0.00120957543902	0.0528338136407
di_B2	dw_Tuesday	hr_21	100	0.00109961403547	0.0480307396734
di_B2	dw_Tuesday	hr_9	106	0.0011655908776	0.0509125840538
di_B2	dw_Tuesday	m_Apr	160	0.00175938245676	0.0768491834774
di_B2	dw_Tuesday	m_Aug	149	0.00163842491286	0.0715658021134
di_B2	dw_Tuesday	m_Dec	131	0.00144049438647	0.0629202689721
di_B2	dw_Tuesday	m_Feb	141	0.00155045579002	0.0677233429395
di_B2	dw_Tuesday	m_Jan	194	0.00213325122882	0.0931796349664
di_B2	dw_Tuesday	m_Jul	219	0.00240815473769	0.105187319885
di_B2	dw_Tuesday	m_Jun	174	0.00191332842172	0.0835734870317
di_B2	dw_Tuesday	m_Mar	147	0.00161643263215	0.0706051873199
di_B2	dw_Tuesday	m_May	215	0.00236417017627	0.103266090298
di_B2	dw_Tuesday	m_Nov	165	0.00181436315853	0.0792507204611
di_B2	dw_Tuesday	m_Oct	226	0.00248512772017	0.108549471662
di_B2	dw_Tuesday	m_Sep	161	0.00177037859711	0.0773294908742
di_B2	dw_Tuesday	of_1402	102	0.00112160631618	0.0489913544669
di_B2	dw_Tuesday	of_3006	140	0.00153945964966	0.0672430355427
di_B2	dw_Tuesday	of_3115	119	0.00130854070221	0.0571565802113
di_B2	dw_Tuesday	of_3301	133	0.00146248666718	0.0638808837656
di_B2	dw_Tuesday	of_802	111	0.00122057157938	0.0533141210375
